Sample;Exp;LCO;NO3;pmol / g FW;Average;stErr
1;1;-;0;0.114;0.146;0.038
2;1;-;0;0.166;;
3;2;-;0;0.065;;
4;2;-;0;0.066;;
5;3;-;0;0.316;;
6;3;-;0;0.148;;
7;1;-;0.25;0.155;0.131;0.04
8;1;-;0.25;0.047;;
9;2;-;0.25;0.051;;
10;2;-;0.25;0.057;;
11;3;-;0.25;0.184;;
12;3;-;0.25;0.292;;
13;1;-;0.5;0.07;0.099;0.029
14;1;-;0.5;0.062;;
15;2;-;0.5;0.026;;
16;2;-;0.5;0.065;;
17;3;-;0.5;0.167;;
18;3;-;0.5;0.204;;
19;1;-;1;0.145;0.18;0.041
20;1;-;1;0.22;;
21;2;-;1;0.053;;
22;2;-;1;0.089;;
23;3;-;1;0.273;;
24;3;-;1;0.299;;
25;1;-;2;0.096;0.199;0.068
26;1;-;2;0.33;;
27;2;-;2;0.03;;
28;2;-;2;0.045;;
29;3;-;2;0.437;;
30;3;-;2;0.257;;
31;1;-;4;0.138;0.191;0.054
32;1;-;4;0.237;;
33;2;-;4;0.039;;
34;2;-;4;0.087;;
35;3;-;4;0.403;;
36;3;-;4;0.245;;
37;1;-;8;0.114;0.164;0.027
38;1;-;8;0.185;;
39;2;-;8;0.092;;
40;2;-;8;0.117;;
41;3;-;8;0.289;;
42;3;-;8;0.142;;
43;3;-;8;0.207;;
44;1;-;16;0.074;0.164;0.054
45;1;-;16;0.182;;
46;2;-;16;0.088;;
47;2;-;16;0.075;;
48;3;-;16;0.458;;
49;3;-;16;0.149;;
50;3;-;16;0.118;;
51;1;+;0;0.093;0.136;0.043
52;1;+;0;0.109;;
53;2;+;0;0.05;;
54;2;+;0;0.059;;
55;3;+;0;0.178;;
56;3;+;0;0.329;;
57;1;+;0.25;0.04;0.099;0.023
58;1;+;0.25;0.119;;
59;2;+;0.25;0.055;;
60;2;+;0.25;0.063;;
61;3;+;0.25;0.131;;
62;3;+;0.25;0.188;;
63;1;+;0.5;0.03;0.124;0.041
64;1;+;0.5;0.123;;
65;2;+;0.5;0.094;;
66;2;+;0.5;0.061;;
67;3;+;0.5;0.122;;
68;3;+;0.5;0.314;;
69;1;+;1;0.114;0.175;0.048
70;1;+;1;0.192;;
71;2;+;1;0.047;;
72;2;+;1;0.096;;
73;3;+;1;0.377;;
74;3;+;1;0.225;;
75;1;+;2;0.104;0.146;0.036
76;1;+;2;0.182;;
77;2;+;2;0.069;;
78;2;+;2;0.069;;
79;3;+;2;0.15;;
80;3;+;2;0.3;;
81;1;+;4;0.075;0.171;0.069
82;1;+;4;0.087;;
83;2;+;4;0.057;;
84;2;+;4;0.077;;
85;3;+;4;0.244;;
86;3;+;4;0.486;;
87;1;+;8;0.173;0.181;0.032
88;1;+;8;0.189;;
89;2;+;8;0.09;;
90;2;+;8;0.077;;
91;3;+;8;0.26;;
92;3;+;8;0.284;;
93;3;+;8;0.195;;
94;1;+;16;0.1;0.178;0.032
95;1;+;16;0.079;;
96;2;+;16;0.193;;
97;2;+;16;0.176;;
98;3;+;16;0.25;;
99;3;+;16;0.27;;
