Sample;Exp;LCO;NO3;pmol / g FW;Average;stErr
1;1;-;0;0.21;0.148;0.037
2;1;-;0;0.307;;
3;2;-;0;0.098;;
4;2;-;0;0.081;;
5;3;-;0;0.1;;
6;3;-;0;0.089;;
7;1;-;0.25;0.3;0.153;0.041
8;1;-;0.25;0.257;;
9;2;-;0.25;0.083;;
10;2;-;0.25;0.06;;
11;3;-;0.25;0.087;;
12;3;-;0.25;0.13;;
13;1;-;0.5;0.193;0.16;0.04
14;1;-;0.5;0.333;;
15;2;-;0.5;0.074;;
16;2;-;0.5;0.079;;
17;3;-;0.5;0.167;;
18;3;-;0.5;0.116;;
19;1;-;1;0.247;0.159;0.021
20;1;-;1;0.13;;
21;2;-;1;0.091;;
22;2;-;1;0.156;;
23;3;-;1;0.179;;
24;3;-;1;0.152;;
25;1;-;2;0.249;0.176;0.03
26;1;-;2;0.25;;
27;2;-;2;0.121;;
28;2;-;2;0.079;;
29;3;-;2;0.219;;
30;3;-;2;0.135;;
31;1;-;4;0.23;0.178;0.013
32;1;-;4;0.138;;
33;2;-;4;0.15;;
34;2;-;4;0.176;;
35;3;-;4;0.192;;
36;3;-;4;0.182;;
37;1;-;8;0.13;0.155;0.032
38;1;-;8;0.316;;
39;2;-;8;0.118;;
40;2;-;8;0.087;;
41;3;-;8;0.129;;
42;3;-;8;0.195;;
43;3;-;8;0.111;;
44;1;-;16;0.16;0.133;0.014
45;1;-;16;0.102;;
46;2;-;16;0.138;;
47;2;-;16;0.113;;
48;3;-;16;0.198;;
49;3;-;16;0.097;;
50;3;-;16;0.122;;
51;1;+;0;0.381;0.313;0.026
52;1;+;0;0.394;;
53;2;+;0;0.257;;
54;2;+;0;0.284;;
55;3;+;0;0.24;;
56;3;+;0;0.325;;
57;1;+;0.25;0.383;0.292;0.045
58;1;+;0.25;0.41;;
59;2;+;0.25;0.376;;
60;2;+;0.25;0.179;;
61;3;+;0.25;0.177;;
62;3;+;0.25;0.226;;
63;1;+;0.5;0.495;0.35;0.037
64;1;+;0.5;0.417;;
65;2;+;0.5;0.285;;
66;2;+;0.5;0.272;;
67;3;+;0.5;0.275;;
68;3;+;0.5;0.355;;
69;1;+;1;0.353;0.297;0.041
70;1;+;1;0.442;;
71;2;+;1;0.16;;
72;2;+;1;0.319;;
73;3;+;1;0.285;;
74;3;+;1;0.222;;
75;1;+;2;0.343;0.281;0.041
76;1;+;2;0.368;;
77;2;+;2;0.225;;
78;2;+;2;0.393;;
79;3;+;2;0.154;;
80;3;+;2;0.204;;
81;1;+;4;0.4;0.291;0.031
82;1;+;4;0.352;;
83;2;+;4;0.248;;
84;2;+;4;0.211;;
85;3;+;4;0.224;;
86;3;+;4;0.314;;
87;1;+;8;0.325;0.238;0.02
88;1;+;8;0.32;;
89;2;+;8;0.248;;
90;2;+;8;0.209;;
91;3;+;8;0.191;;
92;3;+;8;0.199;;
93;3;+;8;0.171;;
94;1;+;16;0.295;0.228;0.028
95;1;+;16;0.216;;
96;2;+;16;0.199;;
97;2;+;16;0.219;;
98;3;+;16;0.122;;
99;3;+;16;0.316;;
