Sample;Exp;LCO;NO3;pmol / g FW;Average;stErr
1;1;-;0;0.3;0.262;0.023
2;1;-;0;0.339;;
3;2;-;0;0.264;;
4;2;-;0;0.271;;
5;3;-;0;0.201;;
6;3;-;0;0.196;;
7;1;-;0.25;0.269;0.245;0.036
8;1;-;0.25;0.374;;
9;2;-;0.25;0.282;;
10;2;-;0.25;0.167;;
11;3;-;0.25;0.126;;
12;3;-;0.25;0.253;;
13;1;-;0.5;0.297;0.281;0.033
14;1;-;0.5;0.349;;
15;2;-;0.5;0.162;;
16;2;-;0.5;0.339;;
17;3;-;0.5;0.2;;
18;3;-;0.5;0.336;;
19;1;-;1;0.299;0.307;0.063
20;1;-;1;0.246;;
21;2;-;1;0.22;;
22;2;-;1;0.591;;
23;3;-;1;0.336;;
24;3;-;1;0.147;;
25;1;-;2;0.422;0.352;0.051
26;1;-;2;0.46;;
27;2;-;2;0.506;;
28;2;-;2;0.282;;
29;3;-;2;0.24;;
30;3;-;2;0.205;;
31;1;-;4;0.266;0.309;0.019
32;1;-;4;0.337;;
33;2;-;4;0.348;;
34;2;-;4;0.338;;
35;3;-;4;0.235;;
36;3;-;4;0.33;;
37;1;-;8;0.575;0.314;0.035
38;1;-;8;0.3;;
39;2;-;8;0.379;;
40;2;-;8;0.37;;
41;3;-;8;0.167;;
42;3;-;8;0.203;;
43;3;-;8;0.206;;
44;1;-;16;0.353;0.336;0.046
45;1;-;16;0.347;;
46;2;-;16;0.449;;
47;2;-;16;0.255;;
48;3;-;16;0.202;;
49;3;-;16;0.241;;
50;3;-;16;0.503;;
51;1;+;0;0.581;0.537;0.075
52;1;+;0;0.583;;
53;2;+;0;0.842;;
54;2;+;0;0.515;;
55;3;+;0;0.332;;
56;3;+;0;0.371;;
57;1;+;0.25;1.144;0.705;0.141
58;1;+;0.25;0.83;;
59;2;+;0.25;1.038;;
60;2;+;0.25;0.48;;
61;3;+;0.25;0.333;;
62;3;+;0.25;0.408;;
63;1;+;0.5;0.83;0.703;0.099
64;1;+;0.5;0.963;;
65;2;+;0.5;0.843;;
66;2;+;0.5;0.736;;
67;3;+;0.5;0.299;;
68;3;+;0.5;0.546;;
69;1;+;1;0.527;0.57;0.1
70;1;+;1;0.952;;
71;2;+;1;0.588;;
72;2;+;1;0.716;;
73;3;+;1;0.364;;
74;3;+;1;0.274;;
75;1;+;2;0.607;0.857;0.136
76;1;+;2;0.867;;
77;2;+;2;0.942;;
78;2;+;2;1.448;;
79;3;+;2;0.502;;
80;3;+;2;0.778;;
81;1;+;4;1.149;0.644;0.116
82;1;+;4;0.785;;
83;2;+;4;0.573;;
84;2;+;4;0.363;;
85;3;+;4;0.487;;
86;3;+;4;0.506;;
87;1;+;8;0.508;0.524;0.042
88;1;+;8;0.431;;
89;2;+;8;0.59;;
90;2;+;8;0.693;;
91;3;+;8;0.58;;
92;3;+;8;0.455;;
93;3;+;8;0.41;;
94;1;+;16;0.462;0.582;0.074
95;1;+;16;0.62;;
96;2;+;16;0.373;;
97;2;+;16;0.845;;
98;3;+;16;0.728;;
99;3;+;16;0.466;;
