Sample;Exp;LCO;NO3;pmol / g FW;Average;stErr
1;1;-;0;0.007;0.011;0.002
2;1;-;0;0.014;;
3;2;-;0;0.013;;
4;2;-;0;0.005;;
5;3;-;0;0.013;;
6;3;-;0;0.012;;
7;1;-;0.25;0;0.015;0.005
8;1;-;0.25;0.017;;
9;2;-;0.25;0.022;;
10;2;-;0.25;0;;
11;3;-;0.25;0.023;;
12;3;-;0.25;0.026;;
13;1;-;0.5;0;0.017;0.007
14;1;-;0.5;0.013;;
15;2;-;0.5;0;;
16;2;-;0.5;0.024;;
17;3;-;0.5;0.049;;
18;3;-;0.5;0.02;;
19;1;-;1;0.002;0.018;0.005
20;1;-;1;0.004;;
21;2;-;1;0.027;;
22;2;-;1;0.012;;
23;3;-;1;0.029;;
24;3;-;1;0.032;;
25;1;-;2;0;0.019;0.009
26;1;-;2;0;;
27;2;-;2;0.025;;
28;2;-;2;0.017;;
29;3;-;2;0.058;;
30;3;-;2;0.017;;
31;1;-;4;0.008;0.027;0.007
32;1;-;4;0.008;;
33;2;-;4;0.038;;
34;2;-;4;0.023;;
35;3;-;4;0.049;;
36;3;-;4;0.035;;
37;1;-;8;0.004;0.022;0.003
38;1;-;8;0.012;;
39;2;-;8;0.028;;
40;2;-;8;0.035;;
41;3;-;8;0.032;;
42;3;-;8;0.021;;
43;3;-;8;0.024;;
44;1;-;16;0.003;0.03;0.009
45;1;-;16;0.008;;
46;2;-;16;0.037;;
47;2;-;16;0.039;;
48;3;-;16;0.075;;
49;3;-;16;0.024;;
50;3;-;16;0.026;;
51;1;+;0;0.115;0.326;0.057
52;1;+;0;0.222;;
53;2;+;0;0.355;;
54;2;+;0;0.475;;
55;3;+;0;0.326;;
56;3;+;0;0.46;;
57;1;+;0.25;0.157;0.24;0.039
58;1;+;0.25;0.187;;
59;2;+;0.25;0.403;;
60;2;+;0.25;0.152;;
61;3;+;0.25;0.247;;
62;3;+;0.25;0.291;;
63;1;+;0.5;0.108;0.294;0.052
64;1;+;0.5;0.212;;
65;2;+;0.5;0.28;;
66;2;+;0.5;0.472;;
67;3;+;0.5;0.305;;
68;3;+;0.5;0.386;;
69;1;+;1;0.073;0.175;0.044
70;1;+;1;0.142;;
71;2;+;1;0.111;;
72;2;+;1;0.379;;
73;3;+;1;0.156;;
74;3;+;1;0.187;;
75;1;+;2;0.094;0.24;0.077
76;1;+;2;0.227;;
77;2;+;2;0.198;;
78;2;+;2;0.614;;
79;3;+;2;0.126;;
80;3;+;2;0.181;;
81;1;+;4;0.178;0.185;0.032
82;1;+;4;0.151;;
83;2;+;4;0.342;;
84;2;+;4;0.141;;
85;3;+;4;0.135;;
86;3;+;4;0.163;;
87;1;+;8;0.088;0.119;0.031
88;1;+;8;0.036;;
89;2;+;8;0.234;;
90;2;+;8;0.22;;
91;3;+;8;0.089;;
92;3;+;8;0.072;;
93;3;+;8;0.092;;
94;1;+;16;0.117;0.099;0.017
95;1;+;16;0.177;;
96;2;+;16;0.071;;
97;2;+;16;0.062;;
98;3;+;16;0.084;;
99;3;+;16;0.084;;
