Sample;Exp;LCO;NO3;pmol / g FW;Average;stErr
1;1;-;0;0.042;0.028;0.006
2;1;-;0;0.028;;
3;2;-;0;0.029;;
4;2;-;0;0.002;;
5;3;-;0;0.031;;
6;3;-;0;0.034;;
7;1;-;0.25;0.022;0.036;0.012
8;1;-;0.25;0.028;;
9;2;-;0.25;0.036;;
10;2;-;0.25;0.005;;
11;3;-;0.25;0.028;;
12;3;-;0.25;0.095;;
13;1;-;0.5;0.039;0.049;0.013
14;1;-;0.5;0.045;;
15;2;-;0.5;0.001;;
16;2;-;0.5;0.041;;
17;3;-;0.5;0.077;;
18;3;-;0.5;0.087;;
19;1;-;1;0.028;0.059;0.017
20;1;-;1;0.04;;
21;2;-;1;0.017;;
22;2;-;1;0.067;;
23;3;-;1;0.129;;
24;3;-;1;0.073;;
25;1;-;2;0.028;0.053;0.009
26;1;-;2;0.063;;
27;2;-;2;0.062;;
28;2;-;2;0.03;;
29;3;-;2;0.088;;
30;3;-;2;0.047;;
31;1;-;4;0.033;0.081;0.024
32;1;-;4;0.063;;
33;2;-;4;0.047;;
34;2;-;4;0.036;;
35;3;-;4;0.174;;
36;3;-;4;0.129;;
37;1;-;8;0.072;0.05;0.012
38;1;-;8;0.046;;
39;2;-;8;0.087;;
40;2;-;8;0.073;;
41;3;-;8;0.027;;
42;3;-;8;0.042;;
43;3;-;8;0.001;;
44;1;-;16;0.055;0.066;0.005
45;1;-;16;0.049;;
46;2;-;16;0.088;;
47;2;-;16;0.063;;
48;3;-;16;0.072;;
49;3;-;16;0.069;;
50;3;-;16;0.07;;
51;1;+;0;0.091;0.218;0.047
52;1;+;0;0.114;;
53;2;+;0;0.227;;
54;2;+;0;0.198;;
55;3;+;0;0.272;;
56;3;+;0;0.408;;
57;1;+;0.25;0.219;0.211;0.025
58;1;+;0.25;0.178;;
59;2;+;0.25;0.206;;
60;2;+;0.25;0.115;;
61;3;+;0.25;0.285;;
62;3;+;0.25;0.262;;
63;1;+;0.5;0.173;0.275;0.037
64;1;+;0.5;0.253;;
65;2;+;0.5;0.253;;
66;2;+;0.5;0.209;;
67;3;+;0.5;0.347;;
68;3;+;0.5;0.418;;
69;1;+;1;0.105;0.174;0.028
70;1;+;1;0.162;;
71;2;+;1;0.114;;
72;2;+;1;0.194;;
73;3;+;1;0.296;;
74;3;+;1;0.176;;
75;1;+;2;0.143;0.27;0.053
76;1;+;2;0.219;;
77;2;+;2;0.213;;
78;2;+;2;0.492;;
79;3;+;2;0.202;;
80;3;+;2;0.354;;
81;1;+;4;0.304;0.249;0.054
82;1;+;4;0.165;;
83;2;+;4;0.192;;
84;2;+;4;0.065;;
85;3;+;4;0.353;;
86;3;+;4;0.417;;
87;1;+;8;0.119;0.15;0.016
88;1;+;8;0.089;;
89;2;+;8;0.143;;
90;2;+;8;0.195;;
91;3;+;8;0.21;;
92;3;+;8;0.141;;
93;3;+;8;0.156;;
94;1;+;16;0.109;0.166;0.015
95;1;+;16;0.144;;
96;2;+;16;0.176;;
97;2;+;16;0.212;;
98;3;+;16;0.188;;
99;3;+;16;0.168;;
